Percentage served,Time in ms
0,0.228
1,0.228
2,0.228
3,0.228
4,0.228
5,0.228
6,0.228
7,0.228
8,0.228
9,0.228
10,0.228
11,0.228
12,0.228
13,0.228
14,0.228
15,0.228
16,0.228
17,0.228
18,0.228
19,0.228
20,0.228
21,0.228
22,0.228
23,0.228
24,0.228
25,0.288
26,0.288
27,0.288
28,0.288
29,0.288
30,0.288
31,0.288
32,0.288
33,0.288
34,0.288
35,0.288
36,0.288
37,0.288
38,0.288
39,0.288
40,0.288
41,0.288
42,0.288
43,0.288
44,0.288
45,0.288
46,0.288
47,0.288
48,0.288
49,0.288
50,0.288
51,0.288
52,0.288
53,0.288
54,0.288
55,0.288
56,0.288
57,0.288
58,0.288
59,0.288
60,0.288
61,0.288
62,0.288
63,0.288
64,0.288
65,0.288
66,0.288
67,0.288
68,0.288
69,0.288
70,0.288
71,0.288
72,0.288
73,0.288
74,0.288
75,6073139781765260.000
76,6073139781765260.000
77,6073139781765260.000
78,6073139781765260.000
79,6073139781765260.000
80,6073139781765260.000
81,6073139781765260.000
82,6073139781765260.000
83,6073139781765260.000
84,6073139781765260.000
85,6073139781765260.000
86,6073139781765260.000
87,6073139781765260.000
88,6073139781765260.000
89,6073139781765260.000
90,6073139781765260.000
91,6073139781765260.000
92,6073139781765260.000
93,6073139781765260.000
94,6073139781765260.000
95,6073139781765260.000
96,6073139781765260.000
97,6073139781765260.000
98,6073139781765260.000
99,6073139781765260.000
100,0.288
